id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1316043519430196099,667925024,2025-06-17,Isole,Cannaregio,45.44138585388049,12.339380532503128,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,2,365,1,2,365,365,$137.00,t,5,17,39,310,2025-06-17,,15,15,4,2025-01-20,2025-06-03,3.02,4.47,4.73,4.4,4.47,4.6,4.8,4.6,f,f,within a day,61%,91%,f,t,2024-12-20,Cannaregio,7,4,3,0,IT027042B468KODKS2
1318191311807248040,667925024,2025-06-17,Isole,Cannaregio,45.44175316055785,12.338448810109892,Entire home,Entire home/apt,3,2.0,1.0,2.0,2,365,2,2,365,365,$99.00,t,14,36,66,341,2025-06-17,,5,5,1,2025-03-16,2025-06-01,1.6,4.8,4.8,5.0,5.0,4.8,5.0,4.8,t,f,within a day,61%,91%,f,t,2024-12-20,Cannaregio,7,4,3,0,IT027042B4974U35Z5
1329009328334388932,671429549,2025-06-17,Isole,Cannaregio,45.44086,12.34117,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,365,1,1,365,365,$133.00,t,18,43,73,348,2025-06-17,,3,3,1,2025-05-09,2025-06-01,2.25,5.0,4.67,4.67,5.0,5.0,5.0,4.67,t,f,within a day,75%,100%,t,t,2025-01-07,,2,2,0,0,IT027042B4NOKKXJLY
1329045870942111110,671429549,2025-06-17,Isole,Cannaregio,45.44086,12.34117,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,365,1,1,365,365,$142.00,t,13,36,66,341,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,75%,100%,t,t,2025-01-07,,2,2,0,0,IT027042B4NOKKXJLY
1330884618680364469,672007619,2025-06-17,Isole,Cannaregio,45.44014749999999,12.341261,Entire home,Entire home/apt,4,1.5,2.0,2.0,1,365,1,3,99,365,$221.00,t,3,16,34,232,2025-06-17,,0,0,0,,,,,,,,,,,t,f,a few days or more,43%,25%,t,t,2025-01-10,,1,1,0,0,IT027042B43AD5ORMA
1332702592077991900,672524571,2025-06-17,Isole,Lido,45.416906,12.373227,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,3,14,3,3,14,14,$145.00,t,6,18,27,168,2025-06-17,,1,1,0,2025-04-06,2025-04-06,0.41,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,f,within a day,100%,67%,f,t,2025-01-12,,1,1,0,0,IT027042C2JCMQ4VNA
1333357734817681182,672726470,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.49094597311965,12.22748651349182,Private room in home,Private room,2,1.0,2.0,1.0,1,365,1,1,365,365,$75.00,t,18,48,78,353,2025-06-17,,5,5,0,2025-02-16,2025-05-04,1.23,4.6,4.6,4.8,4.6,4.6,4.2,4.6,f,f,within a day,90%,67%,f,t,2025-01-13,,1,0,1,0,IT027042B4YZ5B5W6F
1334636503232011923,341878853,2025-06-17,Isole,Cannaregio,45.441646732382736,12.337581105530262,Private room in rental unit,Private room,4,2.0,2.0,4.0,1,365,1,2,999,999,$150.00,t,28,43,43,43,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,57%,97%,t,t,2020-03-17,,27,1,26,0,IT027042B4GDN
1334646270746352378,341878853,2025-06-17,Isole,Cannaregio,45.44168224759019,12.337581776082514,Private room in rental unit,Private room,3,2.0,1.0,4.0,1,365,2,2,999,999,$152.00,t,21,36,36,36,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,57%,97%,t,t,2020-03-17,,27,1,26,0,IT027042B4GDNJ5EKY
1334668605695304642,341878853,2025-06-17,Isole,Cannaregio,45.44170577172756,12.337592169642448,Private room in rental unit,Private room,4,2.0,1.0,4.0,1,365,1,2,999,999,$140.00,t,21,35,35,35,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,57%,97%,t,t,2020-03-17,,27,1,26,0,IT027042B4GDNJ5EKY
