id_anfitrion,zona_grupo,latitud,tipo_propiedad,capacidad,recamaras,noches_minimas,min_noches_minimas,min_noches_maximas,precio,disp_30d,disp_90d,calendario_ultima_extraccion,num_resenas,num_resenas_30d,ultima_resena,calif_total,calif_limpieza,calif_comunicacion,calif_valor,es_superhost,tasa_respuesta_host,host_tiene_foto,antiguedad_host,total_listados_host,host_total_habitaciones_privadas,licencia
2320717,Isole,45.43849,Entire rental unit,9,5.0,3,3,1125,$502.00,3,16,2025-06-17,230,0,2025-04-23,4.83,4.83,4.94,4.73,t,100%,t,2012-05-08,1,0,IT027042B4XKC2IIZH
1438903,Isole,45.435159,Entire rental unit,5,4.0,7,7,180,$331.00,9,40,2025-06-17,62,0,2024-10-27,4.75,4.85,4.71,4.63,f,100%,t,2011-11-24,15,0,IT027042C2IZQS6LEE
1509668,Isole,45.44132,Entire rental unit,4,2.0,2,1,1125,$192.00,3,55,2025-06-17,982,6,2025-06-07,4.62,4.79,4.73,4.6,t,90%,t,2011-12-16,1,0,IT027042B4JQSWWQL8
3736168,Isole,45.4349,Entire serviced apartment,6,2.0,1,2,1125,$303.00,7,56,2025-06-17,312,6,2025-06-05,4.6,4.58,4.85,4.55,f,100%,t,2012-10-02,22,0,IT027042B4EJTZPP82
2508340,Isole,45.44475,Entire rental unit,6,3.0,2,2,29,$236.00,6,25,2025-06-17,189,1,2025-06-06,4.61,4.52,4.83,4.58,t,100%,t,2012-05-31,21,2,IT027042B4ZHYGAXZV
2508340,Isole,45.44468,Entire rental unit,4,2.0,3,3,29,$170.00,17,53,2025-06-17,64,1,2025-06-01,4.66,4.7,4.86,4.67,t,100%,t,2012-05-31,21,2,IT027042B4SFBL7I96
2306935,Isole,45.43558,Entire rental unit,2,1.0,2,2,1125,$107.00,16,67,2025-06-17,357,2,2025-06-08,4.7,4.64,4.79,4.6,t,100%,t,2012-05-06,1,0,IT027042C2WDL8MPV4
2604353,Isole,45.44039,Private room in rental unit,3,1.0,3,3,1125,$128.00,8,32,2025-06-17,414,5,2025-06-08,4.8,4.88,4.92,4.75,f,100%,t,2012-06-11,1,1,IT027042C2HLWQ3QU8
2613819,Isole,45.43092,Entire rental unit,5,2.0,2,2,1125,$158.00,2,14,2025-06-17,343,8,2025-06-16,4.74,4.8,4.81,4.7,t,100%,t,2012-06-12,1,0,IT027042C2SGL3SYNP
2634978,Isole,45.4332,Entire rental unit,4,1.0,1,2,1125,$156.00,26,47,2025-06-17,66,0,2025-05-03,4.44,4.53,4.36,4.39,f,99%,t,2012-06-14,134,0,IT027042B4J7UIK7BG
2658606,Isole,45.43859,Entire rental unit,6,3.0,3,3,365,$383.00,11,62,2025-06-17,141,2,2025-06-09,4.82,4.93,4.95,4.79,t,100%,t,2012-06-17,1,0,IT027042C2JZACYLIT
2679233,Isole,45.43556,Entire rental unit,2,1.0,4,2,30,$145.00,3,38,2025-06-17,326,3,2025-05-31,4.96,4.95,4.98,4.87,f,100%,t,2012-06-19,1,0,IT027042C2D86S27EB
2679513,Isole,45.43327,Entire rental unit,2,1.0,3,2,1125,$101.00,1,9,2025-06-17,428,0,2025-05-01,4.85,4.91,4.94,4.81,t,100%,t,2012-06-19,1,0,IT027042C2VPMISRUP
2634978,Isole,45.43976,Entire rental unit,6,2.0,1,1,1125,,9,36,2025-06-17,235,2,2025-05-31,4.76,4.77,4.77,4.66,f,99%,t,2012-06-14,134,0,IT027042B4FP4CRU8D
2790016,Isole,45.42437,Entire loft,3,1.0,2,2,1125,$150.00,14,37,2025-06-17,124,0,2025-04-20,4.87,4.9,4.97,4.84,f,,t,2012-06-30,1,0,IT027042C2CWLH4EZA
2635450,Isole,45.43884,Entire condo,2,1.0,2,2,180,$149.00,3,32,2025-06-17,392,4,2025-06-16,4.91,4.88,4.96,4.77,t,100%,t,2012-06-14,1,0,IT027042C2SC27L27K
2859698,Isole,45.44348,Private room in condo,2,1.0,3,3,30,$97.00,23,23,2025-06-17,126,3,2025-06-17,4.7,4.72,4.9,4.65,f,100%,t,2012-07-07,3,2,IT027042C2FZTESQDA
2906995,Isole,45.41234,Entire rental unit,5,3.0,3,3,1125,$126.00,0,1,2025-06-17,100,3,2025-06-08,4.77,4.88,4.89,4.72,f,90%,t,2012-07-11,3,0,IT027042C2HKWCPZEZ
