id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1394332408488085098,517184109,2025-06-17,Terraferma,Piave 1860,45.48376215566735,12.2331278398633,Private room in rental unit,Private room,3,2.0,1.0,2.0,1,30,1,1,30,30,$63.00,t,23,53,83,263,2025-06-17,,5,5,2,2025-04-19,2025-05-30,2.5,4.2,4.6,4.8,5.0,4.8,4.0,3.8,t,f,within an hour,100%,100%,f,t,2023-05-29,,17,1,16,0,IT027042C2ZDGG2L5U
1394361222599151099,688730266,2025-06-17,Isole,Lido,45.3948504,12.3535642,Entire rental unit,Entire home/apt,6,1.0,3.0,5.0,3,365,3,3,365,365,$300.00,t,5,5,5,127,2025-06-17,,0,0,0,,,,,,,,,,,f,f,,,,t,f,2025-04-07,,1,1,0,0,IT027042C28UPXEFA2
1394781187697802898,490799291,2025-06-17,Isole,Dorsoduro,45.43091709999999,12.3275507,Entire rental unit,Entire home/apt,4,2.0,1.0,2.0,2,29,2,2,29,30,$189.00,t,27,57,75,120,2025-06-17,,1,1,1,2025-06-08,2025-06-08,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,t,f,within a few hours,100%,100%,t,f,2022-12-09,,3,3,0,0,IT027042B48WJRG3NH
1394814093477503749,688838955,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.48872941498672,12.251370484655755,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,1,365,1,1,365,365,$103.00,t,21,48,78,353,2025-06-17,,14,14,7,2025-04-14,2025-06-13,6.46,5.0,5.0,5.0,4.79,5.0,4.93,4.86,t,f,within an hour,100%,100%,t,t,2025-04-08,,1,1,0,0,IT027042C2UCPPH4PM
1394950805956022041,685000328,2025-06-17,Isole,Cannaregio,45.4431677,12.3246353,Entire rental unit,Entire home/apt,4,,2.0,,1,365,3,4,29,29,,t,0,0,0,0,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within an hour,100%,100%,t,t,2025-03-18,,2,2,0,0,IT027042C22L6T4MDA
1394953698394927142,572104592,2025-06-17,Terraferma,Bissuola,45.49896,12.2532,Entire condo,Entire home/apt,8,2.0,3.0,6.0,1,1125,1,1,1125,1125,$187.00,t,10,26,51,314,2025-06-17,,12,12,5,2025-04-18,2025-06-14,5.9,4.83,4.83,4.75,4.92,4.92,4.83,4.75,t,t,within an hour,100%,100%,t,t,2024-04-13,,1,1,0,0,IT027042C2ZTWC953U
1395095867934420264,665703151,2025-06-17,Terraferma,Piave 1860,45.48506243604416,12.234144732356071,Private room in rental unit,Private room,3,1.0,1.0,2.0,1,365,1,1,365,365,$52.00,t,14,43,67,342,2025-06-17,,13,13,6,2025-04-20,2025-05-31,6.61,4.92,4.92,4.69,5.0,5.0,4.85,4.85,t,t,within an hour,100%,100%,t,t,2024-12-06,,10,0,10,0,IT027042C2ZSAJR4MJ
1395368776744341098,688077606,2025-06-17,Isole,Alberoni,45.3627200047367,12.335195103608402,Private room in farm stay,Private room,3,,,,2,365,2,2,365,365,,t,0,0,1,176,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within an hour,100%,0%,f,f,2025-04-04,,4,0,4,0,IT027042B4K5XIJJHA
1395393821731177852,688077606,2025-06-17,Isole,Alberoni,45.36168902090423,12.33374617346464,Private room in farm stay,Private room,2,,,,2,365,2,2,365,365,,t,0,0,1,207,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within an hour,100%,0%,f,f,2025-04-04,,4,0,4,0,IT027042B4K5XIJJHA
1395767635384917946,682842378,2025-06-17,Isole,Giudecca,45.4264236684023,12.337429324220262,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,2,25,1,2,25,25,$317.00,t,2,28,54,101,2025-06-17,,1,1,1,2025-06-07,2025-06-07,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,f,within a day,50%,25%,f,t,2025-03-06,,1,1,0,0,IT027042C2B5YC7GLC
